id,name_en,name_ar,domain,evidence_level,purpose_in_thinc,applied_to,update_cadence,egyptianization_note,caution,field_tests_count,field_test_result,last_tested
maslow,Maslow's Hierarchy of Needs,هرم ماسلو للاحتياجات,Cognitive Psychology,A — Foundational academic theory,تحديد الاحتياج الإنساني المسيطر وراء الشراء,Persona | Offer | Message,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
jtbd,Jobs To Be Done,المهام المطلوب إنجازها,Marketing Strategy,C — Industry validated,فهم الوظيفة الوظيفية والعاطفية والاجتماعية للمنتج,Product | Offer | Positioning,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
prospect,Prospect Theory,نظرية الاحتمالات السلوكية,Behavioral Economics,B — Meta-reviewed / strongly replicated,فهم نفور الخسارة وتقييم المخاطر,Offer | Pricing | Objections,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
loss_aversion,Loss Aversion,تجنب الخسارة,Behavioral Economics,B — Meta-reviewed / strongly replicated,صياغة المخاطر والضمانات,Hooks | Guarantee | CTA,Stable — review yearly,في مصر تُصاغ كرسالة أمان: ادفع عند الاستلام، جرّب من غير مخاطرة، وفلوسك محفوظة لو طبّقت ومحققتش استفادة.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
framing,Framing Effect,تأثير التأطير,Cognitive Psychology,B — Meta-reviewed / strongly replicated,تغيير إدراك القيمة حسب طريقة العرض,Copywriting | Pricing,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
anchoring,Anchoring Bias,تحيز المرساة السعرية,Cognitive Psychology,B — Meta-reviewed / strongly replicated,بناء السعر المرجعي والخصم,Pricing | Landing Page,Stable — review yearly,في التسعير المصري تُستخدم مرساة واضحة: السعر الأصلي 6500، وسعر البرنامج 2900 مع توضيح القيمة التشغيلية وراء الفرق.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
scarcity,Scarcity Principle,مبدأ الندرة,Social Psychology,C — Industry validated,رفع أولوية القرار عند ندرة الكمية/الفرصة,Offer | Hooks,Stable — review yearly,تُستخدم بوضوح وصدق: العدد محدود لأن كل طالب له متابعة وتشغيل ودعم، مش ندرة مصطنعة.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
social_proof,Social Proof,الإثبات الاجتماعي,Social Psychology,B — Meta-reviewed / strongly replicated,بناء الثقة عبر تجارب الآخرين,Trust | Creative | Landing Page,Stable — review yearly,مصريًا يُترجم إلى: شوف دفعات قبل كده، خريجين بيشتغلوا، نتائج طلاب، ومكان فعلي تقدر تزوره.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
authority,Authority Principle,مبدأ السلطة والخبرة,Social Psychology,B — Meta-reviewed / strongly replicated,رفع الثقة في الأكاديمية والمحاضر,Brand | Sales,Stable — review yearly,تُبنى عبر خبرة د. إيهاب طه، لجنة اعتماد المنتجات، أمثلة سوق محلية، ومنهج THINC الموثق داخل الأكاديمية.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
reciprocity,Reciprocity,المعاملة بالمثل,Social Psychology,B — Meta-reviewed / strongly replicated,رفع التحويل عبر قيمة مجانية مسبقة,Lead Magnet | Nurture,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
commitment,Commitment & Consistency,الالتزام والاتساق,Social Psychology,B — Meta-reviewed / strongly replicated,تحويل النية إلى فعل تدريجي,Follow-up | Community,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
liking,Liking Principle,مبدأ الألفة والإعجاب,Social Psychology,B — Meta-reviewed / strongly replicated,جعل الرسالة قريبة من مفردات الجمهور,Dialect | Creative,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
nudge,Nudge Theory,نظرية الدفع السلوكي,Behavioral Economics,C — Industry validated,تصميم اختيارات تسهل القرار,UX | Checkout | Enrollment,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
fogg_behavior,Fogg Behavior Model,نموذج فوج للسلوك,Consumer Behavior,C — Industry validated,تحليل السلوك باعتباره نتيجة تقاطع الدافع والقدرة والمحفز,Founder OS | CTA | Student Execution,Stable — review yearly,في مصر يُستخدم لتقليل صعوبة البداية: خطوة صغيرة، منتج جاهز، دعم مباشر، ومطلوب واضح من الطالب.,إطار عملي لتصميم السلوك وليس ضمانًا بأن كل محفز سيؤدي لنفس النتيجة.,0,,
peak_end_rule,Peak-End Rule,قاعدة الذروة والنهاية,Cognitive Psychology,B — Meta-reviewed / strongly replicated,تصميم تجربة الطالب والعميل بحيث تبقى أقوى لحظة وآخر لحظة في الذاكرة,Customer Journey | Academy Experience | Retention,Stable — review yearly,تُستخدم في تجربة الطالب: أول مبيعة كذروة، وتقرير نهاية البرنامج كنهاية قوية قابلة للمشاركة.,لا تُستخدم لتزييف التجربة؛ يجب أن تعكس قيمة حقيقية مدعومة بالتنفيذ.,0,,
endowment,Endowment Effect,تأثير التملك,Behavioral Economics,B — Meta-reviewed / strongly replicated,رفع قيمة ما يشعر العميل أنه امتلكه بالفعل,Trial | Community | Offer,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
choice_architecture,Choice Architecture,هندسة الاختيارات,Decision Science,C — Industry validated,ترتيب العروض والباقات لتقليل التردد,Offer | Pricing,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
mental_accounting,Mental Accounting,المحاسبة الذهنية,Behavioral Economics,B — Meta-reviewed / strongly replicated,فهم تقسيم العميل للفلوس داخليًا,Pricing | Installments,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
expected_value,Expected Value,القيمة المتوقعة,Decision Science,A — Foundational academic theory,تقدير العائد مقابل المخاطرة,Decision Engine | Product Selection,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
bayesian,Bayesian Decision Theory,نظرية بايز لاتخاذ القرار,Decision Science,A — Foundational academic theory,تحديث احتمالات نجاح المنتج بالبيانات,Reality Validation | Scaling,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
monte_carlo,Monte Carlo Simulation,محاكاة مونت كارلو,Decision Science,A — Foundational academic theory,محاكاة المخاطر والتباين,Forecasting | Risk,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
decision_trees,Decision Trees,أشجار القرار,Decision Science,A — Foundational academic theory,تنظيم قرارات Kill/Fix/Scale,Decision Engine,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
positioning,Positioning Theory,نظرية التموضع,Branding & Positioning,C — Industry validated,تحديد مكان البراند في عقل السوق,Brand | Message,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
category_design,Category Design,تصميم الفئة السوقية,Marketing Strategy,C — Industry validated,خلق فئة جديدة بدل المنافسة التقليدية,Positioning | Strategy,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
blue_ocean,Blue Ocean Strategy,استراتيجية المحيط الأزرق,Marketing Strategy,C — Industry validated,تجنب ازدحام المنافسة عبر إعادة تعريف القيمة,Strategy | Offer,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
value_prop,Value Proposition Canvas,لوحة عرض القيمة,Marketing Strategy,C — Industry validated,ربط آلام العميل بالمكاسب والحلول,Offer | Landing Page,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
stp,"Segmentation, Targeting, Positioning",التقسيم والاستهداف والتموضع,Marketing Strategy,A — Foundational academic theory,اختيار الجمهور والرسالة,Campaign | Persona,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
aida,AIDA Model,نموذج الانتباه والرغبة والفعل,Marketing Strategy,E — Useful heuristic / must be tested,ترتيب الرسالة الإعلانية,Copy | Video Script,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
pas,PAS Framework,مشكلة-تضخيم-حل,Marketing Strategy,E — Useful heuristic / must be tested,كتابة إعلانات Direct Response,Ad Copy,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
kano,Kano Model,نموذج كانو للجودة,Consumer Behavior,C — Industry validated,تمييز الجودة الأساسية عن المبهرة,Product | Delighters,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
octalysis,Octalysis Gamification,محركات التحفيز الثمانية,Consumer Behavior,C — Industry validated,فهم الدوافع السلوكية,Hooks | Community | Gamification,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
diffusion,Diffusion of Innovations,انتشار الابتكارات,Consumer Behavior,A — Foundational academic theory,تقدير انتشار المنتج بين الشرائح,Market | Launch,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
bass,Bass Diffusion Model,نموذج باس للانتشار,Decision Science,A — Foundational academic theory,تقدير نمو تبني المنتج,Forecasting,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
clv,Customer Lifetime Value,القيمة العمرية للعميل,Operations & Unit Economics,C — Industry validated,قياس قيمة العميل على المدى الطويل,Profit | Retention,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
unit_econ,Unit Economics,اقتصاديات الوحدة,Operations & Unit Economics,C — Industry validated,معرفة ربحية كل طلب,Profit | Scaling,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
breakeven,Break-even Analysis,تحليل نقطة التعادل,Operations & Unit Economics,A — Foundational academic theory,تحديد أقصى CPA آمن,Campaign | Profit,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
lean_startup,Lean Startup,منهجية الشركة الرشيقة,Entrepreneurship,C — Industry validated,Build-Measure-Learn,Validation | Iteration,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
customer_dev,Customer Development,تطوير العملاء,Entrepreneurship,C — Industry validated,اختبار الفرضية مع العملاء,Research | Validation,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
okr,Objectives and Key Results,الأهداف والنتائج الرئيسية,Operations & Unit Economics,C — Industry validated,إدارة التقدم التشغيلي للطالب,Academy | Founder OS,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
sop,Standard Operating Procedures,إجراءات التشغيل القياسية,Operations & Unit Economics,C — Industry validated,تحويل الشغل إلى نظام قابل للتكرار,Business Architecture,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
rag,Retrieval-Augmented Generation,التوليد المعزز بالاسترجاع,AI Systems,C — Industry validated,تحديث المعرفة من مصادر موثوقة,AI Layer | Research,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
agents,Multi-Agent Systems,أنظمة الوكلاء المتعددة,AI Systems,C — Industry validated,تقسيم العمل بين وكلاء بحث/كتابة/تحليل,AI Layer,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
knowledge_graph,Knowledge Graphs,خرائط المعرفة,AI Systems,C — Industry validated,ربط النظريات بالمخرجات,Research | Curriculum,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
rlhf,Human-AI Feedback Loops,دوائر التغذية الراجعة بين الإنسان والذكاء الاصطناعي,AI Systems,C — Industry validated,تحسين المخرجات بناءً على تقييم البشر,Academy | AI QA,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
reward_prediction,Reward Prediction Error,خطأ توقع المكافأة,Neuroeconomics,A — Foundational academic theory,فهم التوقع والمفاجأة في الرسالة,Hooks | Offer,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تحذير: إطار تفسيري سلوكي للتسويق واتخاذ القرار، وليس ادعاءً طبيًا أو تشخيصًا عصبيًا أو وعدًا بتغيير كيمياء المخ.,0,,
dopamine_motivation,Dopamine Motivation Models,نماذج الدافعية المرتبطة بالدوبامين,Neuroeconomics,A — Foundational academic theory,تحليل توقع المكافأة والرغبة,CNCR | Hooks,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تحذير: إطار تفسيري سلوكي للتسويق واتخاذ القرار، وليس ادعاءً طبيًا أو تشخيصًا عصبيًا أو وصفًا علاجيًا.,0,,
trust_oxytocin,Trust & Social Bonding Research,أبحاث الثقة والترابط الاجتماعي,Neuroeconomics,A — Foundational academic theory,رفع الأمان والثقة في الشراء,Trust | Community,Stable — review yearly,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تحذير: إطار تفسيري سلوكي لبناء الثقة، وليس ادعاءً طبيًا أو تشخيصًا هرمونيًا أو وعدًا بتأثير بيولوجي مباشر.,0,,
hofstede,Hofstede Cultural Dimensions,أبعاد هوفستيد الثقافية,Egyptian/Arab Cultural Lens,C — Industry validated,تكييف الرسالة حسب الثقافة المحلية,Arab Lens | Egyptianization,Quarterly — update every 3 months,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
arab_barometer,Arab Barometer Indicators,مؤشرات الباروميتر العربي,Egyptian/Arab Cultural Lens,C — Industry validated,تحديث الحس الثقافي والاجتماعي عربيًا,Research | Generational,Quarterly — update every 3 months,يتم تكييفها لغويًا وسلوكيًا حسب السوق المصري والعربي.,تستخدم كإطار قرار واحتمال، وليس كحقيقة حتمية.,0,,
